('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(483396, 455, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483421, 574, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '415', 'Vitamin B-6', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483397, 3716, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '269', 'Sugars, total', Decimal('6000.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('6000.000000000'), 'other', 0)
(483404, 3730, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '309', 'Zinc, Zn', Decimal('0.120000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.120000000'), 'other', 0)
(483418, 8425, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '404', 'Thiamin', Decimal('1.279000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('1.279000000'), 'other', 0)
(483419, 12163, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '405', 'Riboflavin', Decimal('0.099000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.099000000'), 'other', 0)
(483394, 13393, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '255', 'Water', Decimal('89630.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('89630.000000000'), 'other', 0)
(483406, 13403, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '317', 'Selenium, Se', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483422, 14507, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '417', 'Folate, total', Decimal('0.001000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.001000000'), 'other', 0)
(483426, 14507, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '431', 'Folic acid', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0E-9'), 'other', 0)
(483427, 14507, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '432', 'Folate, food', Decimal('0.001000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('0.001000000'), 'other', 0)
(483428, 14507, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '435', 'Folate, DFE', Decimal('0.001000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 29), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('1.000000000'), 'other', 0)
(483399, 16258, 'Compound', 748, '14649', 'Hibiscus tea', None, None, '303', 'Iron, Fe', Decimal('8.640000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 14, 28), datetime.datetime(2019, 12, 11, 21, 0, 10), None, None, Decimal('8.640000000'), 'other', 0)
