('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(240891, 455, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '263', 'Theobromine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0E-9'), 'dried or powder', 0)
(240921, 574, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '415', 'Vitamin B-6', Decimal('1.800000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('1.800000000'), 'dried or powder', 0)
(240924, 710, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '421', 'Choline, total', Decimal('49.200000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 12), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('49.200000000'), 'dried or powder', 0)
(240920, 1014, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '406', 'Niacin', Decimal('5.140000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('5.140000000'), 'dried or powder', 0)
(696790, 1014, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'NIACIN', 'NIACIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 19), datetime.datetime(2018, 6, 24, 21, 44, 44), None, None, None, 'other', 1)
(240919, 12163, 'Compound', 68, '02043', 'Spices, turmeric, ground', None, None, '405', 'Riboflavin', Decimal('0.233000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 11), datetime.datetime(2019, 12, 11, 20, 37, 16), None, None, Decimal('0.233000000'), 'dried or powder', 0)
(696900, 12163, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'RIBOFLAVIN', 'RIBOFLAVIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 13), None, None, None, 'other', 1)
(696901, 12163, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'RIBOFLAVIN', 'RIBOFLAVIN', Decimal('0.600000000'), Decimal('0E-9'), Decimal('1.200000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 13), None, None, Decimal('0.600000000'), 'other', 1)
(687581, 12295, 'Compound', 68, '806', 'Turmeric, dried', None, None, '713', 'Curcumin', Decimal('2213.571428571'), None, None, 'mg/100g', None, 'PHENOL EXPLORER', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 55, 33), datetime.datetime(2018, 6, 24, 4, 40, 48), 'Chromatography', 'fresh weight', Decimal('2213.571428571'), 'dried or powder', 1)
(696906, 12295, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Plant', 'CURCUMIN', 'CURCUMIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 14), None, None, None, 'other', 1)
(696907, 12295, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Resin, Exudate, Sap', 'CURCUMIN', 'CURCUMIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 15), None, None, None, 'other', 1)
(696908, 12295, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Rhizome', 'CURCUMIN|DIFERULOYL-METHANE', 'CURCUMIN|DIFERULOYL-METHANE', Decimal('2800.450000000'), Decimal('0.900000000'), Decimal('5600.000000000'), 'mg/100g', None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 15), None, None, Decimal('2800.450000000'), 'other', 1)
(696909, 12295, 'Compound', 68, '331', 'Indian Saffron', 'Curcuma longa L. [Zingiberaceae]', 'Root', 'CURCUMIN', 'CURCUMIN', None, None, None, None, None, 'DUKE', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 16, 57, 20), datetime.datetime(2018, 6, 24, 21, 45, 15), None, None, None, 'other', 1)
(721638, 12295, 'Compound', 68, None, None, 'Curcuma longa', None, 'C00002731', 'Curcumin', None, None, None, None, None, 'KNAPSACK', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 17, 2, 19), datetime.datetime(2018, 6, 25, 0, 39, 23), None, None, None, 'other', 1)
(2209381, 12295, 'Compound', 68, None, None, None, None, None, None, None, None, None, '', None, 'PHYTOHUB', 'DATABASE', None, None, datetime.datetime(2020, 1, 24, 18, 9, 14), datetime.datetime(2020, 1, 24, 18, 9, 14), None, None, None, None, 1)
