('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(207659, 3011, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0178', 'C12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207737, 3011, 'Compound', 666, '0388', 'Salt, table', None, None, '0178', 'C12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241245, 3011, 'Compound', 666, '02047', 'Salt, table', None, None, '611', '12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 16), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765801, 3011, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765908, 3011, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1766016, 3011, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(207541, 3514, 'Compound', 666, '0387', 'Salt, block', None, None, '0058', 'Calcium (Ca)', Decimal('230.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('230.000000000'), 'other', 0)
(207637, 3514, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0058', 'Calcium (Ca)', Decimal('51.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('51.000000000'), 'other', 0)
(207715, 3514, 'Compound', 666, '0388', 'Salt, table', None, None, '0058', 'Calcium (Ca)', Decimal('29.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('29.000000000'), 'other', 0)
(241185, 3514, 'Compound', 666, '02047', 'Salt, table', None, None, '301', 'Calcium, Ca', Decimal('24.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('24.000000000'), 'other', 0)
(1765778, 3514, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('29.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('29.000000000'), 'other', 1)
(1765884, 3514, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('51.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('51.000000000'), 'other', 1)
(1765993, 3514, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('230.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('230.000000000'), 'other', 1)
(207542, 3519, 'Compound', 666, '0387', 'Salt, block', None, None, '0059', 'Magnesium (Mg)', Decimal('140.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('140.000000000'), 'other', 0)
(207638, 3519, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0059', 'Magnesium (Mg)', Decimal('37.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('37.000000000'), 'other', 0)
(207716, 3519, 'Compound', 666, '0388', 'Salt, table', None, None, '0059', 'Magnesium (Mg)', Decimal('290.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('290.000000000'), 'other', 0)
(241187, 3519, 'Compound', 666, '02047', 'Salt, table', None, None, '304', 'Magnesium, Mg', Decimal('1.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('1.000000000'), 'other', 0)
(1765779, 3519, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('290.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('290.000000000'), 'other', 1)
(1765885, 3519, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('37.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('37.000000000'), 'other', 1)
(1765994, 3519, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('140.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('140.000000000'), 'other', 1)
(207543, 3521, 'Compound', 666, '0387', 'Salt, block', None, None, '0060', 'Phosphorus (P)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207639, 3521, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0060', 'Phosphorus (P)', Decimal('1.200000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('1.200000000'), 'other', 0)
(207717, 3521, 'Compound', 666, '0388', 'Salt, table', None, None, '0060', 'Phosphorus (P)', Decimal('8.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('8.000000000'), 'other', 0)
(241188, 3521, 'Compound', 666, '02047', 'Salt, table', None, None, '305', 'Phosphorus, P', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(207540, 3522, 'Compound', 666, '0387', 'Salt, block', None, None, '0057', 'Potassium (K)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
(207636, 3522, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0057', 'Potassium (K)', Decimal('56.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('56.000000000'), 'other', 0)
(207714, 3522, 'Compound', 666, '0388', 'Salt, table', None, None, '0057', 'Potassium (K)', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0E-9'), 'other', 0)
(241189, 3522, 'Compound', 666, '02047', 'Salt, table', None, None, '306', 'Potassium, K', Decimal('8.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('8.000000000'), 'other', 0)
(1765777, 3522, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765883, 3522, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('56.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('56.000000000'), 'other', 1)
(1765992, 3522, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(207539, 3524, 'Compound', 666, '0387', 'Salt, block', None, None, '0056', 'Sodium (Na)', Decimal('38700.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('38700.000000000'), 'other', 0)
(207635, 3524, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0056', 'Sodium (Na)', Decimal('33800.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('33800.000000000'), 'other', 0)
(207713, 3524, 'Compound', 666, '0388', 'Salt, table', None, None, '0056', 'Sodium (Na)', Decimal('38850.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('38850.000000000'), 'other', 0)
(241190, 3524, 'Compound', 666, '02047', 'Salt, table', None, None, '307', 'Sodium, Na', Decimal('38758.000000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('38758.000000000'), 'other', 0)
(1765776, 3524, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('38850.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('38850.000000000'), 'other', 1)
(1765882, 3524, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('33800.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('33800.000000000'), 'other', 1)
(1765991, 3524, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('38700.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('38700.000000000'), 'other', 1)
(207545, 3583, 'Compound', 666, '0387', 'Salt, block', None, None, '0064', 'Copper (Cu)', Decimal('0.390000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.390000000'), 'other', 0)
(207641, 3583, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, '0064', 'Copper (Cu)', Decimal('0.140000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 32), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0.140000000'), 'other', 0)
(207719, 3583, 'Compound', 666, '0388', 'Salt, table', None, None, '0064', 'Copper (Cu)', Decimal('0.160000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 33), datetime.datetime(2019, 12, 11, 20, 34, 21), None, None, Decimal('0.160000000'), 'other', 0)
(241192, 3583, 'Compound', 666, '02047', 'Salt, table', None, None, '312', 'Copper, Cu', Decimal('0.030000000'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0.030000000'), 'other', 0)
(1765782, 3583, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0.160000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0.160000000'), 'other', 1)
(1765888, 3583, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0.140000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0.140000000'), 'other', 1)
(1765997, 3583, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0.390000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0.390000000'), 'other', 1)
(207557, 3716, 'Compound', 666, '0387', 'Salt, block', None, None, '0138', 'Sugars, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
