('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(1765871, 1014, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765872, 1014, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765980, 1014, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(1765981, 1014, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(241182, 2100, 'Compound', 666, '02047', 'Salt, table', None, None, '262', 'Caffeine', Decimal('0E-9'), None, None, 'mg/100g', None, 'USDA', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 24, 15), datetime.datetime(2019, 12, 11, 20, 37, 19), None, None, Decimal('0E-9'), 'other', 0)
(1765767, 2251, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765833, 2251, 'Compound', 666, '0388', 'Salt, table', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 43), datetime.datetime(2019, 8, 3, 15, 40, 43), None, None, Decimal('0E-9'), 'other', 1)
(1765873, 2251, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765940, 2251, 'Compound', 666, '0267', 'Salt, sea salt (no iodine fortification)', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 45), datetime.datetime(2019, 8, 3, 15, 40, 45), None, None, Decimal('0E-9'), 'other', 1)
(1765982, 2251, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 47), datetime.datetime(2019, 8, 3, 15, 40, 47), None, None, Decimal('0E-9'), 'other', 1)
(1766048, 2251, 'Compound', 666, '0387', 'Salt, block', None, None, None, None, Decimal('0E-9'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 40, 48), datetime.datetime(2019, 8, 3, 15, 40, 48), None, None, Decimal('0E-9'), 'other', 1)
(207563, 3011, 'Compound', 666, '0387', 'Salt, block', None, None, '0178', 'C12:0', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 15, 31), datetime.datetime(2019, 12, 11, 20, 34, 20), None, None, Decimal('0E-9'), 'other', 0)
