;orig_food_id;id_food_table;food_group;food_subgroup;nombre_primario;nombre_secundario;G_energy;G_protein;G_fiber, total dietary;G_carbohydrate;G_carbohydrate, by difference;G_fatty acids, total monounsaturated;G_fatty acids, total polyunsaturated;G_fatty acids, total saturated;G_sugars, total;G_total lipid (fat);G_ash;M_calcium;M_iron;M_magnesium;M_manganese;M_phosphorus;M_potassium;M_selenium;M_sodium;M_zinc;M_copper;V_vit b1;V_vit b2;V_vit b5;V_vit b6;V_vit b9;V_vit c;V_vit k;AE_alanine;AE_arginine;AE_aspartic acid;AE_cystine;AE_glutamine;AE_glycine;AE_proline;AE_serine;AE_tyrosine;ANE_histidine;ANE_isoleucine;ANE_leucine;ANE_lysine;ANE_methionine;ANE_phenylalanine;ANE_threonine;ANE_tryptophan;ANE_valine;OT_choline;Cluster
54;12177;341;fruits;tropical fruits;coconut;nuts, coconut meat, dried (desiccated), creamed;684.034417;5300.0;0.0;0.0;21520.0;2939.0;756.0;61257.0;0.0;69080.0;2440.0;26.0;3.36;92.0;2.783;209.0;551.0;0.0;37.0;2.04;0.807;0.061;0.101;0.811;0.304;0.009;1.5;0.0;271.0;870.0;518.0;105.0;1212.0;251.0;219.0;274.0;164.0;122.0;208.0;393.0;234.0;99.0;269.0;193.0;62.0;321.0;0.0;2
55;654;138;nuts;nuts;pine nut;pine nuts, pignolias, dried;705.783939;11600.0;10700.0;9400.0;0.0;0.0;0.0;9380.0;0.0;0.0;2600.0;16.0;5.53;251.0;8.8;575.0;597.0;0.002;2.0;6.45;1.32;0.364;0.227;0.313;0.094;0.034;0.8;0.0;670.0;2400.0;1300.0;280.0;2800.0;700.0;670.0;830.0;520.0;340.0;540.0;980.0;540.0;260.0;520.0;360.0;110.0;700.0;0.0;0
56;20064;169;cereals and cereal products;cereals;rye;rye flour, medium;349.0;10880.0;11800.0;0.0;75430.0;189.0;695.0;180.0;1100.0;1520.0;1200.0;24.0;2.54;63.0;2.412;225.0;374.0;0.0144;2.0;2.17;0.331;0.287;0.114;0.492;0.268;0.034;0.0;0.0059;410.0;470.0;542.0;0.0;2527.0;426.0;851.0;484.0;183.0;159.0;253.0;611.0;212.0;136.0;488.0;341.0;123.0;348.0;20.6;1
57;8158;205;cereals and cereal products;cereals;corn;cereals, corn grits, white, regular and quick, unenriched, dry;371.0;8800.0;1600.0;0.0;79600.0;300.0;516.0;155.0;640.0;1200.0;400.0;2.0;1.0;27.0;0.106;73.0;137.0;0.017;1.0;0.41;0.075;0.13;0.04;0.485;0.147;0.005;0.0;0.0003;656.0;437.0;610.0;158.0;1647.0;360.0;765.0;417.0;357.0;268.0;314.0;1076.0;247.0;184.0;431.0;330.0;62.0;444.0;0.0;1
58;2020;8;herbs and spices;herbs;garlic;spices, garlic powder;331.26195;16550.0;9000.0;0.0;72730.0;115.0;178.0;249.0;2430.0;730.0;3540.0;79.0;5.65;77.0;0.979;414.0;1193.0;0.0239;60.0;2.99;0.533;0.435;0.141;0.743;1.654;0.047;1.2;0.0004;485.0;3365.0;1890.0;253.0;3658.0;525.0;1354.0;505.0;445.0;263.0;414.0;728.0;768.0;111.0;525.0;374.0;121.0;667.0;67.5;1
59;35;707;cocoa and cocoa products;cocoa products;cocoa powder;cocoa, powder;402.963671;22500.0;24000.0;23000.0;0.0;0.0;0.0;12900.0;0.0;0.0;8900.0;105.0;11.0;523.0;2.5;660.0;3490.0;0.0143;35.0;10.1;3.6;0.1;0.15;0.0;0.07;0.041;0.0;0.0;830.0;1100.0;1700.0;210.0;2800.0;760.0;860.0;900.0;540.0;290.0;680.0;1000.0;760.0;210.0;760.0;720.0;220.0;1100.0;0.0;0
60;655;140;nuts;nuts;pistachio;pistachio nuts, dried;567.877629;21600.0;8800.0;12300.0;0.0;0.0;0.0;5500.0;0.0;0.0;3000.0;107.0;4.15;121.0;1.2;490.0;1025.0;0.0047;1.0;2.2;1.3;0.87;0.16;0.52;1.7;0.051;5.0;0.0;930.0;2000.0;1800.0;360.0;3800.0;970.0;820.0;1200.0;430.0;510.0;890.0;1600.0;1200.0;340.0;1100.0;660.0;270.0;1200.0;0.0;0
61;20320;205;cereals and cereal products;cereals;corn;cornmeal, whole-grain, white;362.09369;8120.0;7300.0;0.0;76890.0;948.0;1638.0;505.0;640.0;3590.0;1130.0;6.0;3.45;127.0;0.498;241.0;287.0;0.0155;35.0;1.82;0.193;0.385;0.201;0.425;0.304;0.025;0.0;0.0003;608.0;405.0;565.0;146.0;1525.0;333.0;709.0;386.0;330.0;248.0;291.0;996.0;228.0;170.0;399.0;305.0;57.0;411.0;21.6;1
62;11978;40;vegetables;fruit vegetables;pepper;peppers, ancho, dried;281.070746;11860.0;21600.0;0.0;51420.0;492.0;4511.0;820.0;0.0;8200.0;5890.0;61.0;10.93;113.0;1.279;201.0;2411.0;0.0029;43.0;1.42;0.508;0.179;2.255;1.993;3.535;0.069;2.0;0.0;476.0;554.0;1661.0;219.0;1532.0;425.0;502.0;464.0;245.0;232.0;373.0;605.0;515.0;142.0;361.0;425.0;155.0;489.0;0.0;2
63;20027;205;cereals and cereal products;cereals;corn;cornstarch;381.0;260.0;900.0;0.0;91270.0;16.0;25.0;9.0;0.0;50.0;90.0;2.0;0.47;3.0;0.053;13.0;3.0;0.0028;9.0;0.06;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;12.0;20.0;6.0;53.0;9.0;24.0;12.0;10.0;8.0;10.0;36.0;6.0;6.0;13.0;9.0;1.0;14.0;0.4;1
