('id', 'source_id', 'source_type', 'food_id', 'orig_food_id', 'orig_food_common_name', 'orig_food_scientific_name', 'orig_food_part', 'orig_source_id', 'orig_source_name', 'orig_content', 'orig_min', 'orig_max', 'orig_unit', 'orig_citation', 'citation', 'citation_type', 'creator_id', 'updater_id', 'created_at', 'updated_at', 'orig_method', 'orig_unit_expression', 'standard_content', 'preparation_type', 'export')
(153946, 574, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0041', 'Vitamin B6 (as pyridoxinehydrochloride), total', Decimal('0.158000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.158000000'), 'other', 0)
(1724991, 574, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.158000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.158000000'), 'other', 1)
(1725002, 3519, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('60.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('60.000000000'), 'other', 1)
(153958, 3521, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0060', 'Phosphorus (P)', Decimal('64.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('64.000000000'), 'other', 0)
(153955, 3522, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0057', 'Potassium (K)', Decimal('431.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('431.000000000'), 'other', 0)
(1725000, 3522, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('431.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('431.000000000'), 'other', 1)
(153954, 3524, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0056', 'Sodium (Na)', Decimal('10.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('10.000000000'), 'other', 0)
(1724999, 3524, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('10.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('10.000000000'), 'other', 1)
(153960, 3583, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0064', 'Copper (Cu)', Decimal('0.339000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.339000000'), 'other', 0)
(1725005, 3583, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.339000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.339000000'), 'other', 1)
(153972, 3716, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0138', 'Sugars, total', Decimal('0E-9'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0E-9'), 'other', 0)
(153961, 3730, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0065', 'Zinc (Zn)', Decimal('1.830000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('1.830000000'), 'other', 0)
(1725006, 3730, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('1.830000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('1.830000000'), 'other', 1)
(1724986, 8425, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.022000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.022000000'), 'other', 1)
(153942, 12163, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0037', 'Vitamin B2 (riboflavin)', Decimal('0.041000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.041000000'), 'other', 0)
(1724987, 12163, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.041000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.041000000'), 'other', 1)
(153931, 13393, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0013', 'Moisture', Decimal('10600.000000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('10600.000000000'), 'other', 0)
(1724976, 13393, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('10600.000000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('10600.000000000'), 'other', 1)
(153965, 13403, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0069', 'Selenium (Se)', Decimal('0.003100000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.003100000'), 'other', 0)
(1725010, 13403, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.003100000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.003100000'), 'other', 1)
(153949, 14507, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0047', 'Folates', Decimal('0.006000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 16), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('0.006000000'), 'other', 0)
(1724994, 14507, 'Compound', 586, '1046', 'Cinnamon stick', None, None, None, None, Decimal('0.006000000'), None, None, 'mg/100 g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2019, 8, 3, 15, 27, 1), datetime.datetime(2019, 8, 3, 15, 27, 1), None, None, Decimal('0.006000000'), 'other', 1)
(153959, 16258, 'Compound', 586, '1046', 'Cinnamon stick', None, None, '0061', 'Iron (Fe)', Decimal('8.320000000'), None, None, 'mg/100g', None, 'DTU', 'DATABASE', None, None, datetime.datetime(2014, 11, 5, 15, 1, 17), datetime.datetime(2019, 12, 11, 20, 30, 11), None, None, Decimal('8.320000000'), 'other', 0)
