orig_food_id|id_food_table|food_group|food_subgroup|nombre_primario|nombre_secundario|G_energy|G_protein|G_fiber, total dietary|G_carbohydrate|G_carbohydrate, by difference|G_fatty acids, total monounsaturated|G_fatty acids, total polyunsaturated|G_fatty acids, total saturated|G_sugars, total|G_total lipid (fat)|G_ash|M_calcium|M_chromium|M_iodine|M_iron|M_magnesium|M_manganese|M_phosphorus|M_potassium|M_selenium|M_sodium|M_zinc|M_copper|V_vit b1|V_vit b12|V_vit b2|V_vit b5|V_vit b6|V_vit b9|V_vit c|V_vit h|V_vit k|AE_alanine|AE_arginine|AE_aspartic acid|AE_cystine|AE_glutamine|AE_glycine|AE_proline|AE_serine|AE_tyrosine|ANE_histidine|ANE_isoleucine|ANE_leucine|ANE_lysine|ANE_methionine|ANE_phenylalanine|ANE_threonine|ANE_tryptophan|ANE_valine|OT_betaine|OT_caffeine|OT_choline|OT_theobromine
12059|283|"nuts"|"nuts"|"acorn"|"nuts, acorns, dried"|509.082218|8100.000000|0.000000|0.000000|53660.000000|19896.000000|6052.000000|4084.000000|0.000000|31410.000000|1780.000000|54.000000|0.000000|0.000000|1.040000|82.000000|1.363000|103.000000|709.000000|0.000000|0.000000|0.670000|0.818000|0.149000|0.000000|0.154000|0.940000|0.695000|0.115000|0.000000|0.000000|0.000000|461.000000|623.000000|837.000000|144.000000|1299.000000|376.000000|324.000000|344.000000|246.000000|224.000000|376.000000|644.000000|505.000000|136.000000|354.000000|312.000000|98.000000|455.000000|0.000000|0.000000|0.000000|0.000000
12175|390|"nuts"|"nuts"|"japanese chestnut"|"nuts, chestnuts, japanese, dried"|360.000000|5250.000000|0.000000|0.000000|81430.000000|650.000000|322.000000|183.000000|0.000000|1240.000000|2110.000000|72.000000|0.000000|0.000000|3.380000|115.000000|3.711000|169.000000|768.000000|0.000000|34.000000|2.570000|1.312000|0.802000|0.000000|0.380000|0.481000|0.659000|0.109000|61.300000|0.000000|0.000000|473.000000|345.000000|1106.000000|153.000000|1001.000000|267.000000|328.000000|257.000000|150.000000|131.000000|258.000000|325.000000|342.000000|126.000000|205.000000|210.000000|75.000000|312.000000|0.000000|0.000000|0.000000|0.000000
20012|766|"cereals and cereal products"|"cereal products"|"bulgur"|"bulgur, dry"|342.017208|12290.000000|18300.000000|0.000000|75870.000000|173.000000|541.000000|232.000000|410.000000|1330.000000|1510.000000|35.000000|0.000000|0.000000|2.460000|164.000000|3.048000|300.000000|410.000000|0.002300|17.000000|1.930000|0.335000|0.232000|0.000000|0.115000|1.045000|0.342000|0.027000|0.000000|0.000000|0.001900|436.000000|575.000000|630.000000|285.000000|3878.000000|495.000000|1275.000000|580.000000|358.000000|285.000000|455.000000|830.000000|339.000000|190.000000|580.000000|354.000000|190.000000|554.000000|0.000000|0.000000|28.100000|0.000000
222|125|"cereals and cereal products"|"cereals"|"rice"|"rice flour"|364.961759|7300.000000|800.000000|79300.000000|0.000000|0.000000|0.000000|300.000000|0.000000|0.000000|500.000000|4.970000|0.000000|0.000700|1.100000|36.000000|0.600000|96.300000|117.000000|0.003100|2.800000|1.700000|0.200000|0.080000|0.000000|0.030000|0.500000|0.200000|0.010000|0.000000|1.000000|0.000000|440.000000|590.000000|680.000000|81.000000|1200.000000|340.000000|330.000000|420.000000|380.000000|180.000000|330.000000|630.000000|280.000000|210.000000|390.000000|250.000000|97.000000|500.000000|0.000000|0.000000|0.000000|0.000000
2016|13|"herbs and spices"|"herbs"|"dill"|"spices, dill seed"|305.000000|15980.000000|21100.000000|0.000000|55170.000000|9410.000000|1010.000000|730.000000|0.000000|14540.000000|6620.000000|1516.000000|0.000000|0.000000|16.330000|256.000000|1.833000|277.000000|1186.000000|0.012100|20.000000|5.200000|0.780000|0.418000|0.000000|0.284000|0.000000|0.250000|0.010000|21.000000|0.000000|0.000000|0.000000|1263.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|320.000000|767.000000|925.000000|1038.000000|143.000000|670.000000|575.000000|0.000000|1120.000000|0.000000|0.000000|0.000000|0.000000
20130|88|"cereals and cereal products"|"cereals"|"barley"|"barley flour or meal"|345.000000|10500.000000|10100.000000|0.000000|74520.000000|205.000000|771.000000|335.000000|800.000000|1600.000000|1280.000000|32.000000|0.000000|0.000000|2.680000|96.000000|1.034000|296.000000|309.000000|0.037700|4.000000|2.000000|0.343000|0.370000|0.000000|0.114000|0.145000|0.396000|0.008000|0.000000|0.000000|0.002200|409.000000|526.000000|655.000000|232.000000|2741.000000|380.000000|1247.000000|443.000000|301.000000|236.000000|383.000000|713.000000|391.000000|202.000000|589.000000|356.000000|175.000000|515.000000|65.500000|0.000000|37.800000|0.000000
20131|88|"cereals and cereal products"|"cereals"|"barley"|"barley malt flour"|361.000000|10280.000000|7100.000000|0.000000|78300.000000|254.000000|953.000000|386.000000|800.000000|1840.000000|1370.000000|37.000000|0.000000|0.000000|4.710000|97.000000|1.193000|303.000000|224.000000|0.037700|11.000000|2.060000|0.270000|0.309000|0.000000|0.308000|0.577000|0.655000|0.038000|0.600000|0.000000|0.002200|516.000000|836.000000|776.000000|157.000000|1825.000000|440.000000|1123.000000|465.000000|341.000000|275.000000|361.000000|746.000000|535.000000|294.000000|225.000000|407.000000|132.000000|503.000000|0.000000|0.000000|0.000000|0.000000
16100|16|"nuts"|"nuts"|"peanut"|"peanut flour, low fat"|428.000000|33800.000000|15800.000000|0.000000|31270.000000|10866.000000|6921.000000|3040.000000|0.000000|21900.000000|5230.000000|130.000000|0.000000|0.000000|4.740000|48.000000|4.231000|508.000000|1358.000000|0.007100|1.000000|5.990000|2.039000|0.457000|0.000000|0.172000|1.543000|0.304000|0.133000|0.000000|0.000000|0.000000|1343.000000|4042.000000|4123.000000|433.000000|7063.000000|2037.000000|1492.000000|1665.000000|1374.000000|854.000000|1188.000000|2191.000000|1213.000000|415.000000|1752.000000|1158.000000|328.000000|1418.000000|0.000000|0.000000|0.000000|0.000000
12013|406|"herbs and spices"|"other seeds"|"lotus"|"seeds, lotus seeds, dried"|332.000000|15410.000000|0.000000|0.000000|64470.000000|388.000000|1166.000000|330.000000|0.000000|1970.000000|3990.000000|163.000000|0.000000|0.000000|3.530000|210.000000|2.318000|626.000000|1368.000000|0.000000|5.000000|1.050000|0.350000|0.640000|0.000000|0.150000|0.851000|0.629000|0.104000|0.000000|0.000000|0.000000|892.000000|1262.000000|1884.000000|201.000000|3570.000000|826.000000|1285.000000|939.000000|375.000000|430.000000|765.000000|1215.000000|985.000000|267.000000|767.000000|747.000000|221.000000|991.000000|0.000000|0.000000|0.000000|0.000000
12154|93|"nuts"|"nuts"|"black walnut"|"nuts, walnuts, black, dried"|618.000000|24060.000000|6800.000000|0.000000|9910.000000|15004.000000|35077.000000|3368.000000|1100.000000|59000.000000|2470.000000|61.000000|0.000000|0.000000|3.120000|201.000000|3.896000|513.000000|523.000000|0.017000|2.000000|3.370000|1.360000|0.057000|0.000000|0.130000|1.660000|0.583000|0.031000|1.700000|0.000000|0.002700|1048.000000|3618.000000|2433.000000|462.000000|5152.000000|1189.000000|926.000000|1225.000000|740.000000|672.000000|966.000000|1684.000000|713.000000|467.000000|1094.000000|721.000000|318.000000|1271.000000|0.500000|0.000000|32.100000|0.000000
